ID,organizationName,category,additionalOrgDonateCondition,donateLink,viewLink,missionStatement,region,logo
523,New org,Property,TRUE,,,To help homeless,,
693,100 Black Men of Middle Tennessee,Youth Development,TRUE,index.php?section=organizations&action=newDonation_org&fwID=693,the100BlackMenMiddleTN,"To nurture and enhance the growth, development and opportunities for young Black males of Middle Tennessee.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/693?thumbnail=1&maxWidth=290&maxHeight=164
2641,100 Club of Sumner County Inc.,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=2641,100ClubSumner,"The mission of The 100 Club of Sumner County is to help provide for the surviving spouse and dependents of Police Officers, Firefighters and EMTs who lose their lives in the line of duty in Sumner County.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2641?thumbnail=1&maxWidth=290&maxHeight=164
441,15th Judicial District Child Advocacy Center,Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=441,15th-Judicial-District-Child-Advocacy-Center,Our mission is 'To reduce the trauma of child abuse and facilitate the healing process.'  This is accomplished by utilizing a Child Advocacy Center (CAC) method of abuse investigation. To reduce the trauma of child abuse a child is interviewed one time by a trained forensic interviewer. The child is interviewed in a child-friendly environment which also helps to reduce the trauma to the child.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/441?thumbnail=1&maxWidth=290&maxHeight=164
4041,"16:10 Now & Then, Inc",Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=4041,1610nowthen,"Our mission is to inspire youth and young adults to strive for better lives by providing the encouragement, knowledge and understanding needed to become self-sufficient.
",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/4041?thumbnail=1&maxWidth=290&maxHeight=164
316,21st District Recovery Court Inc.,Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=316,21stDrugCourt,"The mission of the 21st District Recovery Court is to provide the 21st Judicial District a non-adversarial, cost-effective treatment alternative to traditional sentencing for non-violent offenders whose crimes result from drug or alcohol addition.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/316?thumbnail=1&maxWidth=290&maxHeight=164
738,"23rd District Judicial Advocates, Inc.",Housing & Shelter,TRUE,index.php?section=organizations&action=newDonation_org&fwID=738,23rd_DrugCourt,"The 23rd District Judicial Advocates, Inc. serves the needs of citizens who find themselves negotiating the complicated maze of the criminal justice system, the juvenile justice system, or those who stand on the threshold of such involvement, and who need physical and/or financial support. Emphasis is placed on assisting with services promptly when required, and to seek long-term solutions to chronic problems such as alcohol and drug addicition while assisting individuals and their families to live outside the justice system.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/738?thumbnail=1&maxWidth=290&maxHeight=164
4146,37150 Community Center Inc,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=4146,37150communitycenter,"37150 Community Center shall be a safe have for the community; focusing on the youth and senior citizens. The corp shall provide educational programming in the following areas: arts, STEM, workforce readiness, recreation, & wellness.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/4146?thumbnail=1&maxWidth=290&maxHeight=164
86,"4:13 Strong, Inc.",Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=86,413strong,"To break the cycle of poverty, crime and dependency by providing faith-based educational, vocational, and life skills training.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/86?thumbnail=1&maxWidth=290&maxHeight=164
3997,"431 Ministries, Inc",Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=3997,431Ministries,"431 Ministries tends to the needs of the overlooked and underserved women of Middle TN by providing safety and stability, giving them hope and a plan for an independent future. Specifically, we help shoulder the burdens of single mothers, so that the generational cycle of single motherhood can be broken. 

We exist to show women that there is a different way. Women who are isolated, overlooked, ignored and underserved often feel like they have no choices, leading to forced decisions for the sake of their families. These decisions are frequently the precursor to a crisis, from familial to monetary and everything in between. We want to support these women, shoulder their burdens and help them build hope and a future.

Our biggest need is for the funds to cover the number of women that have come to us for services. We have grown exponentially, from serving 7 women in 2019 to already over 200 in 2022. We expect that number to double again before the end of the year. Each woman that takes part in our Side-by-Side Program receives more than $10,000 worth of services from us. You taking a small part of that huge burden makes such a difference. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/3997?thumbnail=1&maxWidth=290&maxHeight=164
646,510 Foundation,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=646,510,"510 Foundation seeks to make the world a better place by helping those in greatest need and ensuring the next generation has opportunities to thrive. We accomplish our purpose through programming that provides physical nourishment and spiritual enrichment to all people in our community, including human services, athletics, art education, and scholarship programs.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/646?thumbnail=1&maxWidth=290&maxHeight=164
47,917 Society,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=47,917society,"To impress upon students the relevance and practicality gained through an understanding of the U.S. Constitution. Our mission is to provide a free program to schools to celebrate Constitution Day on September 17th with a film narrated by Nick Clooney to be shown in the classroom and a commemorative keepsake State and U.S. Constitution for each student. Also, a website for teachers and student to support and supplement education about the State and U.S. Constitutions.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/47?thumbnail=1&maxWidth=290&maxHeight=164
624,A Better Balance,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=624,abetterbalance,"A Better Balance uses the power of the law to advance justice for workers, so they can care for themselves and their loved ones without jeopardizing their economic security.

Our expert legal team combats discrimination against pregnant workers and caregivers and advances supportive policies like paid sick time, paid family and medical leave, fair scheduling, and accessible, quality childcare and eldercare. When we value the work of providing care, which has long been marginalized due to sexism and racism, our communities and our nation are healthier and stronger.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/624?thumbnail=1&maxWidth=290&maxHeight=164
